t_c | Gold: nepal (84.0,28.0) | Model: nepal (84.0,28.0) p = 0
t_i | Gold: china (-0.0,35.0) | Model: china (105.0,35.0) p = 0
t_c | Gold: kathmandu (85.4166667,27.75) | Model: kathmandu (85.3166667,27.7166667) p = 1656
t_c | Gold: nepal (84.0,28.0) | Model: nepal (84.0,28.0) p = 0
t_i | Gold: china (-0.0,35.0) | Model: china (105.0,35.0) p = 0
t_i | Gold: china (-0.0,35.0) | Model: china (105.0,35.0) p = 0
t_i | Gold: china (-0.0,35.0) | Model: china (105.0,35.0) p = 0
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: lhasa (91.1,29.65) | Model: lhasa (91.1,29.65) p = 1697
t_c | Gold: chongqing (106.5527778,29.5627778) | Model: chongqing (106.5527778,29.5627778) p = 198
t_i | Gold: beijing (116.5,40.25) | Model: beijing (110.7327778,35.2091667) p = 8520
#############################################
t_c | Gold: chicago (-87.65,41.85) | Model: chicago (-87.65,41.85) p = 2731743
#############################################
t_i | Gold: bonn (7.1,50.7333333) | Model: bonn (-81.38556,39.53139) p = 932
#############################################
t_c | Gold: suzuka (136.5833333,34.8833333) | Model: suzuka (136.5833333,34.8833333) p = 5039
t_i | Gold: japan (138.0,36.0) | Model: japan (-75.91056,40.9925) p = 752
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: finland (26.0,64.0) | Model: finland (-81.09333,33.36583) p = 2397
t_i | Gold: sweden (15.0,62.0) | Model: sweden (-77.87111,41.80194) p = 6148
t_i | Gold: italy (12.8333333,42.8333333) | Model: italy (-79.54111,33.44833) p = 4123
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
t_i | Gold: netherlands (5.75,52.5) | Model: netherlands (-89.75111,36.29917) p = 9633
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: switzerland (8.0,47.0) | Model: switzerland (-81.00889,32.4275) p = 572
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: australia (135.0,-25.0) | Model: australia (-81.1361111,22.5008333) p = 64100
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_c | Gold: austria (13.3333333,47.3333333) | Model: austria (13.333333333333334,47.333333333333336) p = 0
t_i | Gold: netherlands (5.75,52.5) | Model: netherlands (-89.75111,36.29917) p = 9633
t_i | Gold: japan (138.0,36.0) | Model: japan (-75.91056,40.9925) p = 752
t_i | Gold: japan (138.0,36.0) | Model: japan (-75.91056,40.9925) p = 752
#############################################
t_i | Gold: finland (26.0,64.0) | Model: finland (-81.09333,33.36583) p = 2397
t_i | Gold: finland (26.0,64.0) | Model: finland (-81.09333,33.36583) p = 2397
t_i | Gold: finland (26.0,64.0) | Model: finland (-81.09333,33.36583) p = 2397
t_i | Gold: finland (26.0,64.0) | Model: finland (-81.09333,33.36583) p = 2397
t_i | Gold: finland (26.0,64.0) | Model: finland (-81.09333,33.36583) p = 2397
t_i | Gold: sweden (15.0,62.0) | Model: sweden (-81.13528,33.37889) p = 572
t_i | Gold: sweden (15.0,62.0) | Model: sweden (-81.13528,33.37889) p = 572
#############################################
t_i | Gold: northampton (-0.8833333,52.15) | Model: northampton (-77.6833333,18.0333333) p = 464
t_i | Gold: england (-2.0,53.0) | Model: england (-82.23944,40.84028) p = 361
t_i | Gold: australia (135.0,-25.0) | Model: australia (-81.1361111,22.5008333) p = 64100
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
t_i | Gold: italy (12.8333333,42.8333333) | Model: italy (-96.88444,32.18389) p = 1806
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
t_c | Gold: swe (15.0,62.0) | Model: null
t_i | Gold: argentina (-64.0,-34.0) | Model: argentina (-84.35,10.0333333) p = 2
t_i | Gold: sweden (15.0,62.0) | Model: sweden (-81.13528,33.37889) p = 572
t_i | Gold: australia (135.0,-25.0) | Model: australia (-81.1361111,22.5008333) p = 64100
t_i | Gold: ireland (-8.0,53.3333333) | Model: ireland (-81.77167,39.25556) p = 6613
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
t_i | Gold: ireland (-8.0,53.3333333) | Model: ireland (-81.77167,39.25556) p = 6613
t_i | Gold: australia (135.0,-25.0) | Model: australia (-81.1361111,22.5008333) p = 64100
t_i | Gold: australia (135.0,-25.0) | Model: australia (-81.1361111,22.5008333) p = 64100
t_i | Gold: australia (135.0,-25.0) | Model: australia (-81.1361111,22.5008333) p = 64100
t_i | Gold: sweden (15.0,62.0) | Model: sweden (-81.13528,33.37889) p = 572
#############################################
t_i | Gold: berlin (9.4166667,54.4) | Model: berlin (61.1888889,54.069444) p = 245
t_i | Gold: berlin (9.4166667,54.4) | Model: berlin (61.1888889,54.069444) p = 245
t_c | Gold: thailand (100.0,15.0) | Model: thailand (100.0,15.0) p = 0
t_i | Gold: berlin (9.4166667,54.4) | Model: berlin (61.1888889,54.069444) p = 245
#############################################
t_c | Gold: austria (13.3333333,47.3333333) | Model: austria (13.333333333333334,47.333333333333336) p = 0
t_c | Gold: vienna (16.4166667,48.25) | Model: vienna (16.3666667,48.2) p = 5
#############################################
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: israel (34.75,31.5) | Model: israel (-79.81111,39.31806) p = 593
t_i | Gold: jerusalem (35.2333333,31.7666667) | Model: jerusalem (-74.0166667,18.2666667) p = 1454
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: israel (34.75,31.5) | Model: israel (-79.81111,39.31806) p = 593
t_c | Gold: u.s. (-97.0,38.0) | Model: null
#############################################
t_i | Gold: helsinki (21.4333333,60.6) | Model: helsinki (24.9341667,60.1755556) p = 930
t_c | Gold: tampere (23.75,61.5) | Model: tampere (23.75,61.5) p = 373
#############################################
t_c | Gold: minnetonka (-93.50306,44.91333) | Model: minnetonka (-93.50306,44.91333) p = 50778
t_c | Gold: minneapolis (-93.26361,44.98) | Model: minneapolis (-93.26361,44.98) p = 354590
t_c | Gold: minneapolis (-93.26361,44.98) | Model: minneapolis (-93.26361,44.98) p = 354590
#############################################
t_c | Gold: saudi arabia (45.0,25.0) | Model: saudi arabia (45.0,25.0) p = 0
t_c | Gold: dubai (55.28,25.2522222) | Model: dubai (55.28,25.2522222) p = 5
t_c | Gold: saudi arabia (45.0,25.0) | Model: saudi arabia (45.0,25.0) p = 0
t_c | Gold: mecca (39.8377778,21.4255556) | Model: mecca (39.8377778,21.4255556) p = 465
t_c | Gold: saudi arabia (45.0,25.0) | Model: saudi arabia (45.0,25.0) p = 0
#############################################
t_i | Gold: florida (-81.68751,28.06163) | Model: florida (-80.15,22.3333333) p = 469
t_c | Gold: miami (-80.19389,25.77389) | Model: miami (-80.19389,25.77389) p = 373024
t_c | Gold: fort lauderdale (-80.14361,26.12194) | Model: fort lauderdale (-80.14361,26.12194) p = 162842
t_c | Gold: pembroke pines (-80.22417,26.00278) | Model: pembroke pines (-80.22417,26.00278) p = 81498
t_c | Gold: pembroke pines (-80.22417,26.00278) | Model: pembroke pines (-80.22417,26.00278) p = 81498
#############################################
t_c | Gold: madrid (-3.6666667,40.5) | Model: madrid (-3.6833333,40.4) p = 1319
#############################################
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: colombo (79.8477778,6.9319444) | Model: colombo (79.8477778,6.9319444) p = 5
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
#############################################
t_c | Gold: chicago (-87.65,41.85) | Model: chicago (-87.65,41.85) p = 2731743
#############################################
t_i | Gold: geneva (6.1666667,46.2) | Model: geneva (-81.11528,28.73944) p = 87806
t_i | Gold: italy (12.8333333,42.8333333) | Model: italy (-79.54111,33.44833) p = 4123
t_i | Gold: switzerland (8.0,47.0) | Model: switzerland (-81.00889,32.4275) p = 572
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
#############################################
t_c | Gold: zagreb (16.0683333,45.7405556) | Model: zagreb (16.0,45.8) p = 550
t_c | Gold: croatia (15.5,45.1666667) | Model: croatia (15.5,45.166666666666664) p = 0
#############################################
t_i | Gold: washington (-77.03667,38.895) | Model: washington (-90.87556,36.38361) p = 146
t_i | Gold: egypt (30.0,27.0) | Model: egypt (-90.94556,35.86806) p = 92
t_c | Gold: u.s. (-97.0,38.0) | Model: null
#############################################
t_i | Gold: geneva (6.1666667,46.2) | Model: geneva (28.1,-32.8333333) p = 411
t_i | Gold: geneva (6.1666667,46.2) | Model: geneva (28.1,-32.8333333) p = 411
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
#############################################
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_i | Gold: russia (-0.0,60.0) | Model: russia (100.0,60.0) p = 0
t_c | Gold: baghdad (44.3938889,33.3386111) | Model: baghdad (44.3938889,33.3386111) p = 8648
t_c | Gold: baghdad (44.3938889,33.3386111) | Model: baghdad (44.3938889,33.3386111) p = 8648
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: russia (100.0,60.0) | Model: russia (100.0,60.0) p = 0
t_c | Gold: baghdad (44.3938889,33.3386111) | Model: baghdad (44.3938889,33.3386111) p = 8648
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_i | Gold: kuwait (47.75,29.5) | Model: kuwait (43.8666667,34.2166667) p = 4800
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: baghdad (44.3938889,33.3386111) | Model: baghdad (44.3938889,33.3386111) p = 8648
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: russia (100.0,60.0) | Model: russia (100.0,60.0) p = 0
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
#############################################
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: london (-0.1,51.5166667) | Model: london (79.55,52.8) p = 208
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
#############################################
t_c | Gold: bonn (7.1,50.7333333) | Model: bonn (7.1,50.7333333) p = 160
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: bonn (7.1,50.7333333) | Model: bonn (7.1,50.7333333) p = 160
t_i | Gold: germany (10.5,51.5) | Model: germany (23.2833333,55.4166667) p = 124
t_c | Gold: chechnya (45.7,43.3) | Model: null
t_c | Gold: bonn (7.1,50.7333333) | Model: bonn (7.1,50.7333333) p = 160
t_c | Gold: grozny (45.7002778,43.3083333) | Model: grozny (45.7002778,43.3083333) p = 997
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: bonn (7.1,50.7333333) | Model: bonn (7.1,50.7333333) p = 160
t_c | Gold: bonn (7.1,50.7333333) | Model: bonn (7.1,50.7333333) p = 160
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: grozny (45.7002778,43.3083333) | Model: grozny (45.7002778,43.3083333) p = 997
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: grozny (45.7002778,43.3083333) | Model: grozny (45.7002778,43.3083333) p = 997
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: moscow (37.6155556,55.7522222) | Model: moscow (37.6155556,55.7522222) p = 2483
t_c | Gold: chechnya (45.7,43.3) | Model: null
#############################################
t_c | Gold: seoul (126.9997222,37.5663889) | Model: seoul (126.9997222,37.5663889) p = 79
#############################################
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_c | Gold: manchester (-2.2166667,53.5) | Model: manchester (-2.2166667,53.5) p = 39
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_c | Gold: birmingham (-1.9166667,52.4666667) | Model: birmingham (-1.9166667,52.4666667) p = 3300
t_i | Gold: nottingham (-1.1666667,52.9666667) | Model: nottingham (29.9166667,-29.4166667) p = 91
#############################################
t_i | Gold: brussels (4.3333333,50.8333333) | Model: brussels (-90.58861,38.94944) p = 117
t_i | Gold: brussels (4.3333333,50.8333333) | Model: brussels (-90.58861,38.94944) p = 117
#############################################
t_i | Gold: egypt (30.0,27.0) | Model: egypt (-77.3666667,18.3833333) p = 654
t_i | Gold: cairo (31.25,30.05) | Model: cairo (-76.0166667,4.6666667) p = 1107
t_i | Gold: egypt (30.0,27.0) | Model: egypt (-77.3666667,18.3833333) p = 654
t_i | Gold: cyprus (-0.0,35.0) | Model: cyprus (-77.3833333,18.3166667) p = 610
t_c | Gold: u.s. (-97.0,38.0) | Model: null
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-84.08333,37.12889) p = 7201
#############################################
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: kansas city (-94.57833,39.09972) | Model: kansas city (-84.0833333,13.2) p = 5
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_c | Gold: high plains (-86.21111,37.77306) | Model: high plains (-86.21111,37.77306) p = 151
t_i | Gold: kansas (-98.32368,38.49518) | Model: kansas (-86.38056,36.45278) p = 4380
t_c | Gold: high plains (-86.21111,37.77306) | Model: high plains (-86.21111,37.77306) p = 151
t_i | Gold: oklahoma (-98.7188,35.31003) | Model: oklahoma (-86.87722,37.66167) p = 212
t_i | Gold: kansas (-98.32368,38.49518) | Model: kansas (-86.38056,36.45278) p = 4380
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: kansas (-98.32368,38.49518) | Model: kansas (-86.38056,36.45278) p = 4380
t_i | Gold: oklahoma (-98.7188,35.31003) | Model: oklahoma (-86.87722,37.66167) p = 212
#############################################
t_c | Gold: hungary (20.0,47.0) | Model: hungary (20.0,47.0) p = 0
t_c | Gold: bucharest (26.1,44.4333333) | Model: bucharest (26.1,44.4333333) p = 2194
t_c | Gold: romania (25.0,46.0) | Model: romania (25.0,46.0) p = 0
t_c | Gold: hungary (20.0,47.0) | Model: hungary (20.0,47.0) p = 0
t_c | Gold: romania (25.0,46.0) | Model: romania (25.0,46.0) p = 0
#############################################
t_c | Gold: chicago (-87.65,41.85) | Model: null
t_c | Gold: u.s. (-97.0,38.0) | Model: null
#############################################
t_c | Gold: seoul (126.9997222,37.5663889) | Model: seoul (126.9997222,37.5663889) p = 79
#############################################
t_c | Gold: managua (-86.2683333,12.1508333) | Model: managua (-86.2683333,12.1508333) p = 410
t_i | Gold: nicaragua (-85.0,13.0) | Model: nicaragua (-85.8333333,11.4333333) p = 200
t_c | Gold: matagalpa (-85.9166667,12.9166667) | Model: matagalpa (-85.9166667,12.9166667) p = 317
t_c | Gold: managua (-86.2683333,12.1508333) | Model: managua (-86.2683333,12.1508333) p = 410
t_c | Gold: matagalpa (-85.9166667,12.9166667) | Model: matagalpa (-85.9166667,12.9166667) p = 317
#############################################
t_i | Gold: tokyo (139.7513889,35.685) | Model: tokyo (147.15,-8.4) p = 2350
#############################################
t_i | Gold: belgrade (20.4680556,44.8186111) | Model: belgrade (-77.23528,34.88) p = 249
t_i | Gold: greece (22.0,39.0) | Model: greece (-77.69333,43.20972) p = 8755
t_c | Gold: yugoslavia (20.75,43.75) | Model: null
t_c | Gold: yugoslavia (20.75,43.75) | Model: null
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
t_i | Gold: russia (100.0,60.0) | Model: russia (-75.0825,43.25861) p = 1003
t_i | Gold: italy (12.8333333,42.8333333) | Model: italy (-77.29222,42.61167) p = 2946
#############################################
t_c | Gold: seoul (126.9997222,37.5663889) | Model: seoul (126.9997222,37.5663889) p = 79
#############################################
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: colombo (79.8477778,6.9319444) | Model: colombo (79.8477778,6.9319444) p = 5
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
#############################################
t_i | Gold: sudan (20.0,10.0) | Model: sudan (30.0,15.0) p = 0
t_c | Gold: london (-0.1,51.5166667) | Model: london (-0.1166667,51.5) p = 208
t_c | Gold: stansted (0.3,51.3166667) | Model: stansted (0.3,51.3166667) p = 172
t_c | Gold: london (-0.1,51.5166667) | Model: london (-0.1166667,51.5) p = 208
t_c | Gold: london (-0.1,51.5166667) | Model: london (-0.1166667,51.5) p = 208
t_c | Gold: stansted (0.3,51.3166667) | Model: stansted (0.3,51.3166667) p = 172
t_i | Gold: essex (0.5833333,51.8333333) | Model: essex (-70.78333,42.63194) p = 2364
t_c | Gold: stansted (0.3,51.3166667) | Model: stansted (0.3,51.3166667) p = 172
t_c | Gold: stansted (0.3,51.3166667) | Model: stansted (0.3,51.3166667) p = 172
t_c | Gold: london (-0.1,51.5166667) | Model: london (-0.1166667,51.5) p = 208
t_c | Gold: heathrow (-0.45,51.4666667) | Model: heathrow (-0.45,51.4666667) p = 297
t_c | Gold: gatwick (-0.1833333,51.1666667) | Model: gatwick (-0.1833333,51.1666667) p = 533
t_c | Gold: stansted (0.3,51.3166667) | Model: stansted (0.3,51.3166667) p = 172
t_c | Gold: heathrow (-0.45,51.4666667) | Model: heathrow (-0.45,51.4666667) p = 297
t_c | Gold: gatwick (-0.1833333,51.1666667) | Model: gatwick (-0.1833333,51.1666667) p = 533
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_c | Gold: khartoum (32.5333333,15.5833333) | Model: khartoum (32.5341667,15.5880556) p = 408
t_c | Gold: amman (35.9333333,31.95) | Model: amman (35.9333333,31.95) p = 91
t_c | Gold: larnaca (33.6416667,34.925) | Model: larnaca (33.6291667,34.9166667) p = 2235
t_i | Gold: cyprus (-0.0,35.0) | Model: cyprus (33.0,35.0) p = 0
#############################################
